FOODID;FOODNAME;LANG
579;SALLADSDRESSING, FETT <17 %, LÅG FETTHALT;SV
585;SMÖR, KRAFTIGT SALTAT;SV
586;(ARC)MATFETTSBLANDNING 80 %, HÖG SALTHALT;SV
593;BAKMARGARIN 80 %, PIRKKA/RAINBOW;SV
597;MATFETTSBLANDNING 75 %, MEDELVÄRDE AV INDUSTRIELLA PRODUKTER;SV
598;SMÖROLJA 100 %, MJÖLKFETT;SV
599;(ARC)VEGETABILISK MATFETT 32%, BENECOL LÄTT;SV
600;MJÖLK, GÅRDSMJÖLK, RÅMJÖLK, 4,4 % FETT, UTAN TILLSATT VITAMIN D;SV
602;RÅMJÖLK, COLOSTRUM;SV
604;MJÖLK, GETMJÖLK;SV
606;MJÖLK, FETTFRI, 1 UG VITAMIN D;SV
611;SURMJÖLK, HUSHÅLLSSURMJÖLK, 0,8 % FETT;SV
612;SURMJÖLK, FETTFRI, 1 UG VITAMIN D;SV
613;SURMJÖLK, KÄRNMJÖLK;SV
615;GRÄDDFIL, 10-12 % FETT;SV
616;SURMJÖLK, ACIDOPHILUS-SURMJÖLK, 2,5 % FETT, 1 UG VITAMIN D, PROBIOTIKA;SV
617;FIL, NATURELLT, 3,5 % FETT;SV
618;FIL, NATURELLT, LÄTTFIL, 2,5 % FETT;SV
619;YOGHURT, NATURELL, 2,5 % FETT, LÅG LAKTOSHALT;SV
620;NATURELL YOGHURT BULGARIAN FETT 3,9 %;SV
622;KVARG, NATURELL, <0,5 % FETT;SV
627;MJÖLK, ETTANS MJÖLK, 1 UG VITAMIN D;SV
628;CRÈME FRAICHE, 28 % FETT;SV
629;GRÄDDE, VISPGRÄDDE, 38 % FETT, LÅG LAKTOSHALT, ULTRAPASTÖRISERAD;SV
630;SMETANA, CA 40 % FETT;SV
631;GRÄDDE, VISPGRÄDDE, 38 % FETT;SV
632;MATLAGNINGSGRÄDDE, 19 % FETT, KAFFEGRÄDDE;SV
633;GRÄDDE, KAFFEGRÄDDE, LÄTTGRÄDDE, 10 % FETT, LÅG LAKTOSHALT;SV
635;GRYNOST, FETTFRI, LÅG LAKTOSHALT;SV
636;FIL MED SYLT, ETTANS FIL, 1 % FETT, LÅG LAKTOSHALT;SV
637;YOGHURT, NATURELL, FETTFRI, LÅG LAKTOSHALT, 0,5 UG VITAMIN D;SV
639;YOGHURT, SMAKSATT, FETTFRI;SV
640;OST, VITMÖGELOST, 26-30 % FETT, CAMEMBERT/BRIE;SV
641;OST, GRÄDDOST, 30 % FETT, TURUNMAA/OLTERMANNI/KORSHOLM/MASURKKA;SV
642;OST, EMMENTALOST, 27-30 % FETT, RÖDSTÄMPLAD;SV
643;OST, HÅRD SMÅHÅLIG OST, 24-27 % FETT, EDAM;SV
644;OST, HALVHÅRD OST, 9-11 % FETT, LÄTT, EDAM/KADETT;SV
645;OST, GETOST, 20-25 % FETT, HÅRD OST;SV
647;SMÄLTOST, 20-24 % FETT, MEDELFET;SV
648;SMÄLTOST, 27-35 % FETT, HELFET;SV
649;GRYNOST, 2-5 % FETT;SV
650;OST, HEMOST, 9-14 % FETT, BONDOST;SV
653;OST, BLÅMÖGELOST, 27-30 % FETT, AURA/DANAZOLE, MEDELVÄRDE;SV
654;OST, GOUDA, MEDELVÄRDE, 28-30 % FETT;SV
655;OST, HALVHÅRD OST, 25-35 % FETT, LAPPI/POLAR/SMÅLAND/BILLINGE/RUSTHOLLI;SV
657;OST, BRÖDOST, 17-23 % FETT;SV
658;FÄRSKOST, 36-44 % FETT, HELFET, KASAKKA/MUSTA-PEKKA;SV
659;SMÄLTOST, 9-12 % FETT, FETTSNÅL;SV
661;GLASS, MJUKGLASS, SOFT ICE MED VÅFFEL;SV
663;GLASS, GRÄDDGLASS;SV
664;GLASS, GRÄDDGLASSPINNE MED CHOKLADÖVERDRAG, MEDELVÄRDE;SV
665;GLASS, GRÄDDGLASSTRUT;SV
666;GLASS, MJÖLKGLASS;SV
667;GLASS, SOCKERFRI, SYNTETISKT SÖTAD, 6,5 % FETT;SV
668;GLASS, GRÄDDGLASS, > 12 % FETT, MEDELVÄRDE;SV
669;(ARC)GLASS, FETTFRI;SV
672;MJÖLKPULVER, FETTFRITT;SV
675;MJÖLK, LÄTTMJÖLK, LÅG LAKTOSHALT, 1 UG VITAMIN D;SV
680;FIL, NATURELLT, 1 % FETT, ETTANS FIL;SV
682;FÄRSKOST, 30 % FETT, SMAKSATT, CREME BONJOUR/CANTADOU;SV
684;MJÖLK, LÄTTMJÖLK, 1 UG VITAMIN D;SV
685;YOGHURT, SMAKSATT, FETTFRI, DELVIS SYNTETISKT SÖTAD, MEDELVÄRDE;SV
686;YOGHURT, SMAKSATT, 7 % FETT;SV
687;YOGHURT, MATLAGNINGSYOGHURT, 6-8 % FETT, LÅG LAKTOSHALT;SV
689;MJÖLK, HELMJÖLK, 1 UG VITAMIN D;SV
690;OST, SALLADOST, 18 % FETT, AV KOMJÖLK, I SALTLAG;SV
691;OST, EMMENTALOST, 27-30 % FETT, STORHÅLIG, BLÅSTÄMPLAD/GRUYERE;SV
698;OST, CHEDDAR, 34 % FETT;SV
699;MATLAGNINGSGRÄDDE, VEGETABILISK FETTBLANDNING, 15 % FETT;SV
701;SVINKROPP, MEDELFET;SV
703;GRISKOTLETT/RYGG, TJOCKT FETTLAGER;SV
704;SKINKA, MED FLÄSK;SV
705;GRISBOG;SV
706;SIDFLÄSK AV GRIS;SV
707;BACON, 32 % FET;SV
708;RYGGFLÄSK AV GRIS, SPÄCK;SV
709;GRISLÄGG;SV
711;KÖTTFÄRS, GRIS-NÖT;SV
712;KÖTTFÄRS, NÖTFÄRS, LÅG FETTHALT, 7 % FETT;SV
713;GRISKÖTT, MEDELVÄRDE;SV
714;NÖTKÖTT, FETT, MEDELVÄRDE;SV
716;NÖTKROPP, MEDELFET, 13 % FETT;SV
718;NÖTSTEK;SV
719;NÖTBOG/HÖGREV, SOPPKÖTT AV NÖT;SV
720;NÖTLÄGG;SV
721;NÖTBRINGA;SV
722;NÖT, YTTRE FILÉ;SV
723;KÅLLAPP;SV
726;KALVSTEK, RÅ;SV
730;LAMMKÖTT, LÅG FETTHALT;SV
731;LAMMKÖTT, FETT;SV
732;LAMMSTEK, RÅ;SV
734;RENKÖTT;SV
735;ÄLGKÖTT;SV
736;HARE;SV
737;KANIN;SV
741;KÖTTKONSERV, NÖTKÖTT;SV
743;KÖTTKONSERV, GRIS-NÖT;SV
747;ALADÅB PÅ NÖTKÖTT;SV
748;GRISSTEK, LÅG FETTHALT;SV
750;HÖNA;SV
751;KYCKLING, HEL, MED SKINN, RÅ;SV
752;KALKON MED SKINN;SV
753;SKOGSFÅGEL;SV
754;KYCKLING, STRIMLAD;SV
775;PÅLÄGG AV HELT KÖTT, BASTUPALVAD SKINKA, 6 % FETT;SV
776;PÅLÄGG AV HELT KÖTT, PÅLÄGG AV NÖTKÖTT, 2,8 % FETT;SV
779;PÅLÄGG AV HELT KÖTT, KOKT SKINKA, 3 % FETT;SV
786;LEVER, NÖT;SV
787;LEVER, GRIS;SV
788;LEVER, KYCKLING;SV
789;LEVER, REN;SV
790;LEVER, MEDELVÄRDE;SV
791;NJURE;SV
792;HJÄRTA, NÖT;SV
793;TUNGA, NÖT;SV
794;BLOD;SV
797;PÅLÄGG AV HELT KÖTT, RENPÅLÄGG, KALLRÖKT;SV
799;PÅLÄGG AV HELT KÖTT, SKINKPÅLÄGG, LÅG FETTHALT, 3 % FETT;SV
800;STRÖMMING, FÄRSK, ÖSTERSJÖN;SV
801;STRÖMMING, SALTAD, ÖSTERSJÖN;SV
802;STRÖMMING, RÖKT, ÖSTERSJÖN;SV
803;SILL, SALTAD I TUNNA;SV
804;TORSK;SV
805;GÖS;SV
806;RÖDFISK, RÖKT;SV
807;HÄLLEFLUNDRA, RÖKT;SV
809;MUJKA, INSJÖ;SV
810;MUJKA, INSJÖ, SALTAD;SV
811;MUJKA, INSJÖ, RÖKT;SV
812;ABBORRE;SV
813;GÄDDA;SV
814;BRAXEN;SV
815;SIK;SV
816;SIK, RÖKT;SV
817;LAX, HEL;SV
818;LAX, GRAVAD;SV
819;LAKE;SV
820;FLUNDRA;SV
821;ÅL;SV
822;REGNBÅGSLAX, HEL, MEDELVÄRDE;SV
823;ÖRING;SV
824;FISK, MEDELVÄRDE, STRÖMMING/MUJKA/ABBORRE/GÄDDA;SV
825;NEJONÖGA, RÖKT;SV
826;SEJ, DJUPFRYST;SV
828;TONFISK, I OLJA;SV
829;ANSJOVIS;SV
830;LAX, KONSERV, I OLJA;SV
831;SARDIN, MEDELVÄRDE, I OLJA OCH TOMATSÅS;SV
832;ROMKAVIAR, MÖRK STÖRROM;SV
833;ROMKRÄM;SV
834;BLÅMUSSLA, I VATTEN;SV
835;RÄKA;SV
836;KRÄFTA;SV
837;SILL, KRYDD-/SALTSILL, MEDELVÄRDE;SV
838;STRÖMMING, KRYDD-/SALTSTRÖMMING, MEDELVÄRDE;SV
844;BRAXEN, RÖKT;SV
845;MÖRT;SV
846;RÖDFISK, DJUPFRYST;SV
848;REGNBÅGSLAXFILÉ, HAV;SV
851;ÄGGULA, 34 % AV ÄGGMASSAN;SV
852;ÄGGVITA, 66 % AV ÄGGMASSAN;SV
855;VAKTELÄGG;SV
856;FISK, RÖKT, MEDELVÄRDE, FETTSNÅL;SV
857;FISK, RÖKT, MEDELVÄRDE, FET;SV
858;ÄGG, UTAN SKAL;SV
859;SILL I VITLÖKS-/SENAPSSÅS;SV
860;STRÖMMING I DILLSÅS/SENAPSSÅS;SV
862;TONFISK;SV
863;OSTRON, VÄGDA MED SKAL;SV
864;SNIGEL;SV
865;BLÄCKFISK;SV
866;HUMMER;SV
870;REGNBÅGSLAXFILÉ, GRAVAD;SV
871;LAXFILÉ;SV
900;KAFFE, KAFFEDRYCK, MEDELVÄRDE;SV
901;TE;SV
902;ÖL, MELLANÖL, 4,5 VOL-% ALKOHOL;SV
903;ÖL, A-ÖL, 5- 5,5 VOL-% ALKOHOL;SV
904;VIN, MEDELVÄRDE, 8-15 VOL-% ALKOHOL;SV
905;STARKVIN, SÖTT, BITTER, SHERRY, VERMOUTH, MADEIRA, FRUKTVIN;SV
906;STARKSPRIT, VODKA, GIN;SV
907;KONJAK/ROM/WHISKEY, 40 VOL-% ALKOHOL;SV
908;LIKÖR, 20-30 VOL-% ALKOHOL;SV
909;GIN LONG DRINK, 5,5 VOL-% ALKOHOL;SV
910;LÄSKEDRYCK;SV
911;CIDER SÖT, <3 VOL-% ALKOHOL;SV
912;MJÖD;SV
913;ÖL, I-ÖL, <2,8 VOL-% ALKOHOL;SV
914;SVAGDRICKA;SV
915;MINERALVATTEN;SV
917;TE, CITRONTEPULVER, OTILLREDD, SNABBTE, SÖTAT MED SOCKER;SV
920;LÄSKEDRYCK, SOCKERFRI, LIGHT;SV
921;MINERALVATTEN, LÅG NATRIUMHALT;SV
922;VATTEN, KRANVATTEN;SV
923;TE, ÖRTTE;SV
924;RÖDVIN;SV
925;VITT VIN, TORRT;SV
926;VITT VIN, SÖTT;SV
928;LÄSKEDRYCK, COLADRYCK, MEDELVÄRDE;SV
929;VINÄGER, VINÄTTIKA;SV
930;KAFFE, FILTERKAFFE;SV
931;KAFFE, PANNKAFFE;SV
932;KAFFE, CAPPUCCINO, OSÖTAD, HELMJÖLK;SV
933;STARKSPRITSÄTTIKA;SV
934;HONUNGS-ÄPPELVINÄGER;SV
936;SVAGT VIN, 4-5 VOL-% ALKOHOL;SV
937;TEE, GRÖNT TE;SV
