FOODID;FOODNAME;LANG
618;VIILI, MAUSTAMATON, KEVYTVIILI, RASVAA 2,5 %;FI
619;JOGURTTI, MAUSTAMATON, RASVAA 2,5 %, VL;FI
620;JOGURTTI, MAUSTAMATON, BULGARIAN, RASVAA 3,9%;FI
622;RAHKA, MAITORAHKA, MAUSTAMATON, RASVAA <0,5 %;FI
627;MAITO, YKKÖSMAITO, D-VITAMIINIA 1 UG;FI
628;CREME FRAICHE, RANSKANKERMA, RASVAA 28 %;FI
629;KERMA, VISPIKERMA, RASVAA 38 % ,VL, ISKUKUUMENNETTU;FI
630;SMETANA, RASVAA N. 40 %;FI
631;KERMA, KUOHUKERMA, RASVAA 38 %;FI
632;RUOANVALMISTUSKERMA, RASVAA 19 %, KAHVIKERMA;FI
633;KERMA, KAHVIKERMA, KEVYT, RASVAA 10 %, VL;FI
635;RAEJUUSTO, RASVATON, VL;FI
636;VIILI, KERROSVIILI, MAUSTETTU HILLOLLA, YKKÖSVIILI, RASVAA 1 %, VL;FI
637;JOGURTTI, MAUSTAMATON, RASVATON, VL, D-VIT 0,5 UG;FI
639;JOGURTTI, MAUSTETTU, RASVATON;FI
640;JUUSTO, VALKOHOMEJUUSTO, RASVAA 26-30 %, CAMEMBERT/BRIE;FI
641;JUUSTO, KERMAJUUSTO, RASVAA 30 %, TURUNMAA/OLTERMANNI/KORSHOLM/MASURKKA;FI
642;JUUSTO, EMMENTALJUUSTO, RASVAA 27-30 %, PUNALEIMA;FI
643;JUUSTO, KOVA PIENIKOLOINEN JUUSTO, RASVAA 24-27 %, EDAM;FI
644;JUUSTO, PUOLIKOVA JUUSTO, RASVAA 9-11 %, KEVYT, EDAM/KADETT;FI
645;JUUSTO, KUTUNJUUSTO, VUOHENJUUSTO, RASVAA 30 %, KOVA JUUSTO;FI
647;SULATEJUUSTO, RASVAA 20-24 %, KESKIRASVAINEN;FI
648;SULATEJUUSTO, RASVAA 27-35 %, RUNSASRASVAINEN;FI
649;RAEJUUSTO, RASVAA 2-5 %;FI
650;TUOREJUUSTO, KOTIJUUSTO, RASVAA 9-14 %, MAALAISJUUSTO;FI
653;JUUSTO, SINIHOMEJUUSTO, RASVAA 27-30 %, AURA/DANAZOLE, KESKIARVO;FI
654;JUUSTO, GOUDA, KESKIARVO, RASVAA 28-30 %;FI
655;JUUSTO, PUOLIKOVA JUUSTO, RASVAA 25-35 %, LAPPI/SMÅLAND/BILLINGE/RUSTHOLLI;FI
657;JUUSTO, LEIPÄJUUSTO, RASVAA 17-23 %;FI
658;TUOREJUUSTO, RUNSASRASVAINEN, MUSTAPIPPURIJUUSTO;FI
659;SULATEJUUSTO, RASVAA 9-12 %, VÄHÄRASVAINEN;FI
661;JÄÄTELÖ, PEHMYTJÄÄTELÖ, VOHVELI;FI
663;JÄÄTELÖ, KERMAJÄÄTELÖ;FI
664;JÄÄTELÖ, KERMAJÄÄTELÖPUIKKO, SUKLAAKUORRUTE, KESKIARVO;FI
665;JÄÄTELÖ, KERMAJÄÄTELÖTUUTTI;FI
666;JÄÄTELÖ, MAITOJÄÄTELÖ;FI
667;JÄÄTELÖ, SOKERITON, KEINOTEKOISESTI MAKEUTETTU, RASVAA 6,5 %;FI
668;JÄÄTELÖ, KERMAJÄÄTELÖ, RASVAA YLI 12 %, KESKIARVO;FI
669;(ARC) JÄÄTELÖ, RASVATON;FI
672;MAITOJAUHE, RASVATON;FI
675;MAITO, KEVYTMAITO, VL, D-VITAMIINIA 1 UG;FI
680;VIILI, MAUSTAMATON, RASVAA 1 %, YKKÖSVIILI;FI
682;TUOREJUUSTO, RASVAA 30 %, MAUSTETTU, CREME BONJOUR/CANTADOU;FI
684;MAITO, KEVYTMAITO, D-VITAMIINIA 1 UG;FI
685;JOGURTTI, MAUSTETTU, RASVATON, OSITTAIN KEINOTEKOISESTI MAKEUTETTU, KA.;FI
686;JOGURTTI, MAUSTETTU, RASVAA 7 %;FI
687;JOGURTTI, RUOANVALMISTUSJOGURTTI, RASVAA 6-8 %, VL;FI
689;MAITO, TÄYSMAITO, D-VITAMIINIA 1 UG;FI
690;JUUSTO, SALAATTIJUUSTO, RASVAA 18 %, LEHMÄNMAITO, SUOLALIEMESSÄ;FI
691;JUUSTO, EMMENTALJUUSTO, RASVAA 27-30 %, SUURIKOLOINEN, SINILEIMA/GRUYERE;FI
698;JUUSTO, CHEDDAR, RASVAA 34 %;FI
699;RUOANVALMISTUSKERMA, KASVIRASVAKERMA, RASVAA 15 %;FI
701;SIANRUHO, KESKIRASVAINEN;FI
703;SIANKYLJYS/SELKÄ, PAKSU RASVAKERROS;FI
704;SIANKINKKU, SILAVOINEEN;FI
705;SIANLAPA;FI
706;SIANKYLKI;FI
707;PEKONI, 32 % RASVAA;FI
708;SIAN SELKÄSILAVA;FI
709;SIANPOTKA;FI
711;JAUHELIHA, SIKA-NAUTA;FI
712;JAUHELIHA, NAUDAN, VÄHÄRASVAINEN, RASVAA 7 %;FI
713;SIANLIHA, KESKIARVO;FI
714;NAUDANLIHA, RASVAINEN, KESKIARVO;FI
716;NAUDANRUHO, KESKIRASVAINEN, 13 % RASVAA;FI
718;NAUDANPAISTI;FI
719;NAUDANLAPA/ETUSELKÄ, NAUDAN KEITTOLIHA;FI
720;NAUDANPOTKA;FI
721;NAUDANRINTA;FI
722;NAUDANFILEE, ULKOFILEE;FI
723;NAUDANKYLKI;FI
726;VASIKANPAISTI;FI
